PCN,ISSUED,LOCATION,Unnamed: 3,FINE,Total Paid,Balance
103,0,16,60,55,98,0
116,0,7,60,0,30,0
116,0,7,60,57,30,0
117,0,8,60,66,0,0
118,0,8,60,0,30,0
118,0,8,60,63,30,0
119,0,8,60,0,0,0
119,0,8,60,78,0,0
121,0,8,60,54,30,0
122,0,8,60,0,0,0
123,0,8,60,0,30,0
124,0,8,60,0,30,0
124,0,8,60,48,30,0
125,0,8,60,0,30,0
125,0,8,60,73,30,0
129,0,8,60,0,60,0
132,0,8,60,0,30,0
132,0,8,60,48,30,0
132,0,8,60,57,30,0
133,0,8,60,13,30,0
182,0,20,60,0,0,0
182,0,20,60,28,0,0
183,0,20,60,0,30,0
185,0,20,60,0,30,0
185,0,20,60,66,30,0
187,0,20,60,0,30,0
187,0,20,60,63,30,0
188,0,20,60,90,30,0
188,0,20,60,7,30,0
189,0,20,60,0,0,0
189,0,20,60,19,0,0
192,0,20,60,0,30,0
193,0,20,60,55,98,0
232,0,19,60,0,30,0
239,0,17,60,69,30,0
244,0,13,60,0,30,0
245,0,13,60,55,90,0
245,0,13,60,70,90,0
247,0,13,60,55,98,0
250,0,13,60,78,30,0
251,0,13,60,0,30,0
251,0,13,60,63,30,0
252,0,13,60,0,0,60
262,0,0,60,0,0,60
263,0,0,60,0,0,60
264,0,0,60,0,0,60
265,0,0,60,0,0,60
266,0,0,60,0,0,60
271,0,0,60,0,0,60
272,0,0,60,0,0,0
272,0,0,60,87,0,0
273,0,0,60,0,0,60
275,0,0,60,0,0,60
278,0,0,60,0,0,60
279,0,0,60,0,0,60
281,0,0,60,0,0,0
281,0,0,60,87,0,0
282,0,0,60,0,0,60
283,0,0,60,0,0,60
287,0,0,60,0,0,60
288,0,0,60,0,0,60
289,0,0,60,87,0,0
290,0,0,60,0,0,60
296,0,0,60,0,0,60
297,0,0,60,0,0,60
298,0,0,60,0,0,60
300,0,0,60,0,0,60
422,0,2,60,0,30,0
422,0,2,60,66,30,0
44,3,10,60,3,30,0
44,3,10,60,57,30,0
53,3,4,60,3,30,0
65,3,22,60,3,30,0
65,3,22,60,57,30,0
65,3,22,60,60,30,0
66,3,22,60,91,30,0
78,3,15,60,3,90,0
79,3,15,60,73,0,0
80,3,15,60,3,0,98
80,3,15,60,40,0,98
80,3,15,60,20,0,98
81,3,15,60,3,30,0
81,3,15,60,66,30,0
90,3,14,60,3,0,98
90,3,14,60,40,0,98
90,3,14,60,20,0,98
94,3,18,60,40,90,0
97,3,3,60,3,0,60
104,3,16,60,69,30,0
106,3,16,60,81,30,0
107,3,16,60,84,30,0
108,3,16,60,69,30,0
108,3,16,60,78,30,0
113,3,6,60,3,0,60
114,3,6,60,3,0,60
115,3,6,60,3,90,0
115,3,6,60,40,90,0
115,3,6,60,49,90,0
134,3,8,60,3,30,0
134,3,8,60,48,30,0
135,3,8,60,40,30,0
135,3,8,60,73,30,0
136,3,8,60,3,30,0
138,3,8,60,3,30,0
138,3,8,60,57,30,0
139,3,8,60,3,30,0
139,3,8,60,60,30,0
140,3,8,60,3,30,0
140,3,8,60,40,30,0
140,3,8,60,79,30,0
143,3,8,60,40,98,0
143,3,8,60,20,98,0
143,3,8,60,68,98,0
147,3,8,60,40,0,60
147,3,8,60,20,0,60
148,3,8,60,3,30,0
148,3,8,60,60,30,0
149,3,8,60,3,0,60
150,3,8,60,3,30,0
150,3,8,60,60,30,0
151,3,8,60,3,30,0
151,3,8,60,69,30,0
152,3,8,60,3,30,0
152,3,8,60,69,30,0
153,3,8,60,40,0,98
153,3,8,60,20,0,98
154,3,8,60,3,30,0
194,3,20,60,3,30,0
194,3,20,60,7,30,0
194,3,20,60,10,30,0
195,3,20,60,3,0,0
195,3,20,60,55,0,0
195,3,20,60,68,0,0
196,3,20,60,3,30,0
197,3,20,60,63,30,0
198,3,20,60,86,0,98
199,3,20,60,10,0,60
200,3,20,60,3,0,0
201,3,20,60,3,90,0
202,3,20,60,3,30,0
202,3,20,60,7,30,0
203,3,20,60,3,0,98
203,3,20,60,86,0,98
205,3,20,60,3,30,0
205,3,20,60,40,30,0
205,3,20,60,49,30,0
206,3,20,60,3,30,0
206,3,20,60,66,30,0
207,3,20,60,10,30,0
208,3,20,60,3,30,0
208,3,20,60,72,30,0
209,3,20,60,3,0,60
210,3,20,60,3,30,0
210,3,20,60,69,30,0
211,3,20,60,3,0,0
212,3,20,60,63,30,0
213,3,20,60,66,30,0
214,3,20,60,3,0,0
214,3,20,60,81,0,0
215,3,20,60,3,90,0
215,3,20,60,55,90,0
216,3,20,60,3,0,0
240,3,17,60,3,0,98
253,3,13,60,3,90,0
254,3,13,60,63,30,0
255,3,13,60,61,30,0
256,3,13,60,69,0,0
302,3,0,60,3,0,60
306,3,0,60,3,0,60
308,3,0,60,3,0,0
308,3,0,60,90,0,0
315,3,0,60,3,0,60
316,3,0,60,3,0,60
317,3,0,60,3,0,60
318,3,0,60,3,0,60
319,3,0,60,3,0,60
321,3,0,60,3,0,60
322,3,0,60,3,0,98
322,3,0,60,55,0,98
323,3,0,60,3,0,0
323,3,0,60,87,0,0
324,3,0,60,3,0,60
325,3,0,60,3,0,60
327,3,0,60,3,0,60
328,3,0,60,3,0,60
329,3,0,60,3,0,0
331,3,0,60,3,0,60
334,3,0,60,3,0,60
337,3,0,60,3,0,60
338,3,0,60,3,0,60
341,3,0,60,3,0,60
344,3,0,60,3,0,60
345,3,0,60,3,0,60
348,3,0,60,3,0,60
349,3,0,60,3,0,60
350,3,0,60,3,0,0
350,3,0,60,90,0,0
351,3,0,60,3,0,60
352,3,0,60,3,0,60
354,3,0,60,3,0,60
44,3,10,60,60,30,0
45,3,10,60,3,0,60
52,3,4,60,3,30,0
52,3,4,60,51,30,0
53,3,4,60,57,30,0
64,3,22,60,3,30,0
64,3,22,60,51,30,0
66,3,22,60,3,30,0
67,3,22,60,3,30,0
67,3,22,60,84,30,0
68,3,22,60,3,0,98
68,3,22,60,40,0,98
68,3,22,60,20,0,98
78,3,15,60,40,90,0
78,3,15,60,49,90,0
79,3,15,60,3,0,0
79,3,15,60,40,0,0
81,3,15,60,69,30,0
94,3,18,60,3,90,0
94,3,18,60,76,90,0
104,3,16,60,3,30,0
105,3,16,60,3,0,60
106,3,16,60,3,30,0
106,3,16,60,84,30,0
107,3,16,60,3,30,0
107,3,16,60,87,30,0
108,3,16,60,3,30,0
135,3,8,60,3,30,0
135,3,8,60,70,30,0
136,3,8,60,40,30,0
137,3,8,60,3,30,0
137,3,8,60,48,30,0
139,3,8,60,63,30,0
140,3,8,60,73,30,0
141,3,8,60,3,30,0
141,3,8,60,60,30,0
142,3,8,60,3,30,0
142,3,8,60,51,30,0
143,3,8,60,3,98,0
144,3,8,60,3,0,60
145,3,8,60,3,0,60
146,3,8,60,3,0,0
146,3,8,60,40,0,0
146,3,8,60,20,0,0
147,3,8,60,3,0,60
148,3,8,60,57,30,0
152,3,8,60,78,30,0
153,3,8,60,3,0,98
154,3,8,60,7,30,0
195,3,20,60,8,0,0
195,3,20,60,62,0,0
196,3,20,60,78,30,0
197,3,20,60,3,30,0
198,3,20,60,3,0,98
198,3,20,60,55,0,98
199,3,20,60,3,0,60
199,3,20,60,13,0,60
200,3,20,60,66,0,0
201,3,20,60,55,90,0
201,3,20,60,70,90,0
203,3,20,60,55,0,98
204,3,20,60,3,0,0
204,3,20,60,81,0,0
207,3,20,60,3,30,0
210,3,20,60,78,30,0
211,3,20,60,66,0,0
212,3,20,60,3,30,0
213,3,20,60,3,30,0
213,3,20,60,69,30,0
215,3,20,60,86,90,0
216,3,20,60,52,0,0
240,3,17,60,5,0,98
240,3,17,60,86,0,98
253,3,13,60,32,90,0
254,3,13,60,3,30,0
255,3,13,60,3,30,0
255,3,13,60,73,30,0
256,3,13,60,3,0,0
301,3,0,60,3,0,60
303,3,0,60,3,0,60
304,3,0,60,3,0,60
305,3,0,60,3,0,60
307,3,0,60,3,0,60
309,3,0,60,3,0,60
310,3,0,60,3,0,60
311,3,0,60,3,0,60
312,3,0,60,3,0,60
313,3,0,60,3,0,0
314,3,0,60,3,0,60
320,3,0,60,3,0,60
322,3,0,60,86,0,98
326,3,0,60,3,0,60
329,3,0,60,87,0,0
330,3,0,60,3,0,60
332,3,0,60,3,0,60
333,3,0,60,3,0,60
335,3,0,60,3,0,60
336,3,0,60,3,0,60
339,3,0,60,3,0,60
340,3,0,60,3,0,60
342,3,0,60,3,0,60
343,3,0,60,3,0,60
346,3,0,60,3,0,60
347,3,0,60,3,0,60
353,3,0,60,3,0,60
355,3,0,60,3,0,60
47,6,5,60,6,30,0
47,6,5,60,60,30,0
55,6,4,60,62,98,0
56,6,4,60,6,30,0
56,6,4,60,69,30,0
57,6,4,60,66,30,0
58,6,4,60,48,30,0
59,6,4,60,6,60,0
60,6,4,60,6,30,0
60,6,4,60,48,30,0
61,6,4,60,6,0,60
69,6,22,60,6,0,60
70,6,22,60,57,30,0
71,6,22,60,6,30,0
72,6,22,60,6,0,98
72,6,22,60,40,0,98
72,6,22,60,20,0,98
82,6,15,60,6,30,0
84,6,15,60,6,30,0
84,6,15,60,69,30,0
85,6,15,60,6,30,0
85,6,15,60,48,30,0
95,6,18,60,66,30,0
111,6,16,60,48,30,0
112,6,16,60,6,30,0
112,6,16,60,60,30,0
155,6,8,60,6,30,0
155,6,8,60,78,30,0
156,6,8,60,66,0,0
157,6,8,60,6,30,0
157,6,8,60,87,30,0
158,6,8,60,90,30,0
159,6,8,60,6,0,60
160,6,8,60,13,30,0
161,6,8,60,6,30,0
162,6,8,60,6,30,0
163,6,8,60,6,30,0
163,6,8,60,84,30,0
164,6,8,60,6,30,0
164,6,8,60,48,30,0
165,6,8,60,48,30,0
165,6,8,60,57,30,0
166,6,8,60,63,30,0
167,6,8,60,6,0,98
167,6,8,60,40,0,98
167,6,8,60,20,0,98
168,6,8,60,75,30,0
169,6,8,60,6,60,0
169,6,8,60,10,60,0
170,6,8,60,6,30,0
171,6,8,60,6,30,0
172,6,8,60,6,30,0
174,6,8,60,48,30,0
175,6,8,60,31,30,0
176,6,8,60,40,0,98
177,6,8,60,6,0,60
178,6,8,60,6,90,0
178,6,8,60,40,90,0
178,6,8,60,73,90,0
179,6,8,60,6,30,0
179,6,8,60,69,30,0
217,6,20,60,6,30,0
217,6,20,60,60,30,0
218,6,20,60,6,0,0
219,6,20,60,61,0,98
220,6,20,60,6,30,0
221,6,20,60,6,30,0
221,6,20,60,69,30,0
222,6,20,60,66,30,0
223,6,20,60,81,30,0
224,6,20,60,6,30,0
224,6,20,60,87,30,0
225,6,20,60,6,90,0
225,6,20,60,55,90,0
226,6,20,60,81,30,0
226,6,20,60,29,30,0
228,6,20,60,6,30,0
228,6,20,60,16,30,0
229,6,20,60,6,0,98
229,6,20,60,55,0,98
230,6,20,60,60,30,0
231,6,20,60,6,90,0
231,6,20,60,5,90,0
231,6,20,60,26,90,0
234,6,19,60,6,30,0
235,6,19,60,6,60,0
235,6,19,60,73,60,0
235,6,19,60,44,60,0
237,6,19,60,90,30,0
241,6,17,60,6,30,0
241,6,17,60,10,30,0
243,6,17,60,63,30,0
257,6,13,60,6,30,0
257,6,13,60,63,30,0
258,6,13,60,28,30,0
260,6,13,60,6,30,0
261,6,13,60,6,30,0
356,6,0,60,6,0,0
